candidate_id,seed,ticker,false_safe_count,mean_score,mean_actual
trial006_c_balanced,7,SATS,508,0.14096404612064362,-0.06294803321361542
trial006_c_balanced,7,CVNA,441,0.11524423956871033,-0.0721973404288292
trial006_c_balanced,7,IBKR,423,0.07132470607757568,-0.04908076673746109
trial006_c_balanced,7,UAL,412,0.09656654298305511,-0.05628567188978195
trial006_c_balanced,7,RCL,393,0.062284164130687714,-0.05409646034240723
trial006_c_balanced,7,CIEN,388,0.09016045182943344,-0.06121914088726044
trial006_c_balanced,7,RL,384,0.05981850624084473,-0.043088044971227646
trial006_c_balanced,7,CCL,380,0.04292488098144531,-0.05079706013202667
trial006_c_balanced,7,COHR,369,0.08066798746585846,-0.07418862730264664
trial006_c_balanced,7,GE,361,0.08439254760742188,-0.04395556077361107
trial006_c_balanced,7,LITE,353,0.1281377524137497,-0.06738597899675369
trial006_c_balanced,7,INCY,350,0.03817048296332359,-0.043225474655628204
trial006_c_balanced,7,EXPE,349,0.029825039207935333,-0.05282779783010483
trial006_c_balanced,7,BKR,343,0.02834406867623329,-0.046940822154283524
trial006_c_balanced,7,ORCL,342,0.03922341391444206,-0.052366603165864944
trial006_c_balanced,7,TPR,334,0.07909847050905228,-0.04852673038840294
trial006_c_balanced,7,GILD,321,0.04808661341667175,-0.034258484840393066
trial006_c_balanced,7,GS,317,0.04639255255460739,-0.04313969239592552
trial006_c_balanced,7,NRG,310,0.05279133841395378,-0.05170632153749466
trial006_c_balanced,7,NEM,307,0.05766177177429199,-0.05832389369606972
trial006_c_balanced,7,WDC,304,0.15092891454696655,-0.05637935549020767
trial006_c_balanced,7,STX,301,0.1293598711490631,-0.05509178340435028
trial006_c_balanced,7,TKO,295,0.03258613124489784,-0.04273821413516998
trial006_c_balanced,7,IBM,294,0.035746634006500244,-0.04273369163274765
trial006_c_balanced,7,C,293,0.05457723140716553,-0.04364287480711937
trial006_c_balanced,7,FIX,290,0.07853028178215027,-0.06007174029946327
trial006_c_balanced,7,HAS,284,0.030430685728788376,-0.037519022822380066
trial006_c_balanced,7,APH,279,0.0478520542383194,-0.04978110268712044
trial006_c_balanced,7,VST,276,0.08570164442062378,-0.07111299782991409
trial006_c_balanced,7,TRGP,276,0.07329259067773819,-0.04800202697515488
trial006_c_balanced,42,SATS,518,0.13978184759616852,-0.0634663924574852
trial006_c_balanced,42,RCL,483,0.07640126347541809,-0.05274908244609833
trial006_c_balanced,42,COHR,479,0.07943710684776306,-0.07481475174427032
trial006_c_balanced,42,IBKR,433,0.08074036985635757,-0.04888112470507622
trial006_c_balanced,42,CIEN,430,0.13644300401210785,-0.06251228600740433
