trial_id,base,stage2_candidate,feature_set,patch_len,patch_stride,dropout,weight_decay,lr,line_gate_pass,classification,composite_score,false_safe_improvement_vs_stage2_best,severe_recall_improvement_vs_stage2_best,val_ic_mean,val_ic_std,val_ic_ir,val_ic_t_stat,val_long_short_spread,val_spread_ir,val_spread_t_stat,val_fee_adjusted_return,val_fee_adjusted_sharpe,val_false_safe_tail_rate,val_false_safe_severe_rate,val_severe_downside_recall,val_conservative_bias,val_upside_sacrifice,val_direction_accuracy,val_mae,val_smape,failure_types
s3_pvv_p16_d35_wd10_lr5e5,patchtst_pvv_p16_s8,cp148_s2_patchtst_pvv_p16_s8,price_volatility_volume,16,8,0.35,0.1,5e-05,True,탈락 후보,0.7785714285714286,-0.08495999719892855,-0.09492283159633241,0.0730803925797733,0.40338135807707504,0.1811694842026132,4.696449798325741,0.016486077025359286,0.22987881994384807,6.025281301896136,12216.557601385506,0.2274937896677245,0.393620559864148,0.40990375306110827,0.5900962469388917,-0.012898246757686138,0.053707949817180634,0.49193817377090454,0.045680705457925797,1.501147985458374,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_pvv_p16_d25_wd05_lr1e4,patchtst_pvv_p16_s8,cp148_s2_patchtst_pvv_p16_s8,price_volatility_volume,16,8,0.25,0.05,0.0001,True,탈락 후보,0.6500000000000001,-0.09430857302918366,-0.1030810410615639,0.07287773280017043,0.399906458943305,0.18223694859227654,4.724121637982511,0.0162717541559639,0.2273019739522706,5.957740403718955,10493.350736728933,0.2246508384193349,0.4029691356944031,0.41806196252633976,0.5819380374736602,-0.011667964980006218,0.052497196942567825,0.49186813831329346,0.045406173914670944,1.4993677139282227,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_no_fund_d15_wd01_lr1e4,patchtst_no_fund_p32_s16,cp148_s2_patchtst_no_fund_p32_s16,no_fundamentals,32,16,0.15,0.01,0.0001,True,탈락 후보,0.6214285714285714,-0.021142253578660508,-0.027450310382140297,0.06749011871533037,0.3973350817752371,0.16985693388510786,4.403194977343967,0.010935616114588818,0.15047583048930963,3.9440745696188846,193.55852312286294,0.14270700611908804,0.32980281624387997,0.3424312318469161,0.6575687681530838,-0.019523367285728455,0.06100760027766228,0.48500552773475647,0.04517761245369911,1.5063672065734863,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_pvv_p16_d15_wd01_lr1e4,patchtst_pvv_p16_s8,cp148_s2_patchtst_pvv_p16_s8,price_volatility_volume,16,8,0.15,0.01,0.0001,True,탈락 후보,0.5214285714285715,-0.0988603140701318,-0.11657839284697313,0.07284315109298432,0.4087925352164822,0.1781910011013512,4.619238691710266,0.016173923007528443,0.22462863487115733,5.887670355582313,9622.676115921347,0.22200379557285663,0.40752087673535126,0.431559314311749,0.568440685688251,-0.012532796710729599,0.0515427328646183,0.49920928478240967,0.04597920551896095,1.502384066581726,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_no_fund_d25_wd05_lr1e4,patchtst_no_fund_p32_s16,cp148_s2_patchtst_no_fund_p32_s16,no_fundamentals,32,16,0.25,0.05,0.0001,True,탈락 후보,0.4357142857142858,-0.05022087615179471,-0.0565949085938835,0.06575217474658356,0.4061713601204471,0.16188284355422117,4.196482930383334,0.010533684894653561,0.1428175040729602,3.743344589486228,151.61642759414633,0.13669939440806045,0.3588814388170142,0.37157583005865935,0.6284241699413406,-0.015785472467541695,0.057007137686014175,0.4869720935821533,0.044375140219926834,1.501258134841919,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_no_fund_d25_wd10_lr2e4,patchtst_no_fund_p32_s16,cp148_s2_patchtst_no_fund_p32_s16,no_fundamentals,32,16,0.25,0.1,0.0002,True,탈락 후보,0.4214285714285715,-0.027100365889952904,-0.030525656358562636,0.0644341245885919,0.3930834099247125,0.163919725334969,4.2492849410006865,0.009902002755849076,0.13685925883898845,3.587174901434361,98.35607988622624,0.1293846203055633,0.33576092855517237,0.34550657782333843,0.6544934221766615,-0.018642360344529152,0.06030493229627609,0.4854198396205902,0.045099012553691864,1.5045466423034668,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_pvv_p32_ref_d25_wd05_lr1e4,patchtst_pvv_p32_s16_reference,cp148_s2_patchtst_pvv_p32_s16,price_volatility_volume,32,16,0.25,0.05,0.0001,True,탈락 후보,0.39285714285714285,-0.10962693230160536,-0.11905575488353559,0.07015720075626855,0.4039484273895982,0.1736786084541522,4.50226410500667,0.012709131011579408,0.16906085343187854,4.4312007487880845,737.3774061255549,0.1664224232040999,0.4182874949668248,0.4340366763483114,0.5659633236516886,-0.010181048884987831,0.050309572368860245,0.49061349034309387,0.045449480414390564,1.5003557205200195,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
s3_no_fund_d35_wd10_lr5e5,patchtst_no_fund_p32_s16,cp148_s2_patchtst_no_fund_p32_s16,no_fundamentals,32,16,0.35,0.1,5e-05,True,탈락 후보,0.1785714285714286,-0.12339303116775496,-0.13231106555043004,0.05478738634743685,0.4099298003861802,0.1336506550531911,3.464620958288342,0.012445457114500976,0.17039105018717762,4.466066116721957,701.104653138009,0.16748495295093827,0.4320535938329744,0.4472919870152059,0.5527080129847941,-0.008218908682465553,0.04819175601005554,0.49448829889297485,0.044893793761730194,1.4970329999923706,"false_safe_not_improved,false_safe_target_miss,severe_recall_not_improved,severe_recall_0p70_miss"
