row_type,candidate_id,classification,split,seed,ablation,line_gate_pass,ic_mean,long_short_spread,fee_adjusted_return,false_safe_tail_rate,severe_downside_recall,h1_false_safe_tail_rate,h1_severe_downside_recall,h2_h3_false_safe_tail_rate,h2_h3_severe_downside_recall,h4_h5_false_safe_tail_rate,h4_h5_severe_downside_recall,stress_false_safe_tail_rate,stress_severe_downside_recall,vix_rising_false_safe_tail_rate,vix_rising_severe_downside_recall,breadth_worsening_false_safe_tail_rate,breadth_worsening_severe_downside_recall,checkpoint_path
run,D_stock_fragility,,validation,42,False,True,0.04982527041505442,0.008396038967163328,29.049106075325714,0.2782164177798008,0.7101344040093399,0.28658219059191115,0.6622531939605111,0.27722485823400067,0.7017734346724575,0.26863210276588356,0.718594999493876,0.23893805309734514,0.6666666666666666,0.288890284494128,0.6993900114372855,0.25755777815448944,0.7312881167991129,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-ae37f3400540.pt
run,D_stock_fragility,,test,42,False,True,0.03970725238530727,0.005739322684509235,4.522555768001337,0.31497872984281616,0.6856610527858317,0.32646147609809767,0.664624808575804,0.3126013435255965,0.6872348390316946,0.31152999768357653,0.6914869029275809,0.24422543886664613,0.7603513174404015,0.28856127265310877,0.7092144187575325,0.31354149813945964,0.6863278886872354,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-ae37f3400540.pt
run,D_stock_fragility,,validation,7,False,True,0.055773198899229784,0.00969885734863847,64.7520473562215,0.3164918914818251,0.677643943276952,0.32407568130532893,0.6339140534262485,0.3156752690660803,0.66576185305827,0.3038132160629557,0.6850895839659885,0.23303834808259588,0.6515151515151515,0.319914588959367,0.674609226077011,0.3018025654065661,0.6972833117723156,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-b1ab94eefe4a.pt
run,D_stock_fragility,,test,7,False,True,0.046317286839175006,0.006832776482168844,6.580136653632597,0.360539348335923,0.6421386478537111,0.3746127341691519,0.6186830015313936,0.36095668288163074,0.6386323933117045,0.35421009960620803,0.6502696456086287,0.27995072374499536,0.7164366373902133,0.33750946914515473,0.6614440670537964,0.3503208758021895,0.6507360354910264,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-b1ab94eefe4a.pt
run,D_stock_fragility,,validation,123,False,True,0.0393577013356755,0.010413782143406968,208.34902017666084,0.39397652935581196,0.5953214875562389,0.38219637794364403,0.5751451800232288,0.37935424140724455,0.5952768729641694,0.38253674343247307,0.5947970442352465,0.27728613569321536,0.6363636363636364,0.396910130000628,0.5796797560045749,0.3623212973950387,0.6058029939013121,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-9c66e922cf4f.pt
run,D_stock_fragility,,test,123,False,True,0.03118366292635195,0.004988215705793056,3.9345711117728843,0.3895726764317347,0.6122863393240315,0.38885832585343255,0.6074063761659474,0.38412091730368314,0.6178562515597704,0.38794301598332176,0.6123651771956856,0.30612873421619957,0.6963613550815558,0.3590117126041606,0.6343815054234688,0.3951895594024699,0.6041540633192176,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-9c66e922cf4f.pt
run,C_stress_delta,,validation,42,False,True,0.0584498209831281,0.008606799795284947,30.75817342232536,0.29583398983444503,0.6983455777663876,0.3071515361916334,0.6641114982578398,0.2944971646800139,0.6865725660513934,0.28434209003587546,0.7042716874177548,0.22123893805309736,0.6515151515151515,0.29824781762230734,0.6976744186046512,0.2830988303102221,0.7141009055627425,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-adf72b8201c1.pt
run,C_stress_delta,,test,42,False,True,0.046222695814486375,0.0067562648565730014,6.333854470331029,0.35635515052055144,0.6476967038948261,0.3724990589802241,0.6246693582068773,0.3584375723882326,0.6426254055403045,0.3507065091498726,0.6551617873651772,0.27440714505697567,0.7245922208281054,0.330516869646291,0.6703188342281143,0.3482715849646767,0.6556765476910668,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-adf72b8201c1.pt
run,C_stress_delta,,validation,7,False,True,0.044139761195374765,0.007697335923295998,19.679063075760226,0.26478294614356657,0.725340281337206,0.27269571254990455,0.6775842044134727,0.26440805462330746,0.7117263843648208,0.2531246383520426,0.734487296285049,0.1976401179941003,0.7121212121212122,0.2676631288073855,0.7201677468547465,0.24422218455105385,0.7445943448530771,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-81313610e336.pt
run,C_stress_delta,,test,7,False,True,0.041821395819825,0.0060308240173524,4.907032196903764,0.30062792064572824,0.7013303746192575,0.31592205460810147,0.6777112627036057,0.30174310864025944,0.6968430247067632,0.2938962242297892,0.7088597842835132,0.21219587311364335,0.7772898368883312,0.2783637317172659,0.7179796209050071,0.2932643045893329,0.7065940713853599,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-81313610e336.pt
run,C_stress_delta,,validation,123,False,True,0.04885354303102692,0.007540205942714132,19.51200526768485,0.2817702771310026,0.7052935816390455,0.27229069027367936,0.6799070847851336,0.27982872352736954,0.6974303293521534,0.2757782664043513,0.7121672234031785,0.1976401179941003,0.7121212121212122,0.28857627331533003,0.6972931757529547,0.25789681866983105,0.7360931435963778,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-9930cbf29c84.pt
run,C_stress_delta,,test,123,False,True,0.04251434378063479,0.005685172537995188,4.3499881946502565,0.31170818857405563,0.6870845850298837,0.30541158757274806,0.6786857858833356,0.30993745656706045,0.6859246318941852,0.3064917766967802,0.6940677966101695,0.2263627964274715,0.766624843161857,0.28092768486684927,0.7088857236770023,0.30410397454565063,0.6870336761443839,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-9930cbf29c84.pt
aggregate_median,D_stock_fragility,탈락 후보,validation,median,False,True,0.04982527041505442,0.00969885734863847,64.7520473562215,0.3164918914818251,0.677643943276952,0.32407568130532893,0.6339140534262485,0.3156752690660803,0.66576185305827,0.3038132160629557,0.6850895839659885,0.23893805309734514,0.6515151515151515,0.319914588959367,0.674609226077011,0.3018025654065661,0.6972833117723156,
aggregate_median,D_stock_fragility,탈락 후보,test,median,False,True,0.03970725238530727,0.005739322684509235,4.522555768001337,0.360539348335923,0.6421386478537111,0.3746127341691519,0.6186830015313936,0.36095668288163074,0.6386323933117045,0.35421009960620803,0.6502696456086287,0.27995072374499536,0.7164366373902133,0.33750946914515473,0.6614440670537964,0.3503208758021895,0.6507360354910264,
aggregate_median,C_stress_delta,Stage 4-2 primary 후보,validation,median,False,True,0.04885354303102692,0.007697335923295998,19.679063075760226,0.2817702771310026,0.7052935816390455,0.27269571254990455,0.6775842044134727,0.27982872352736954,0.6974303293521534,0.2757782664043513,0.7121672234031785,0.1976401179941003,0.7121212121212122,0.28857627331533003,0.6976744186046512,0.25789681866983105,0.7360931435963778,
aggregate_median,C_stress_delta,Stage 4-2 primary 후보,test,median,False,True,0.04251434378063479,0.0060308240173524,4.907032196903764,0.31170818857405563,0.6870845850298837,0.31592205460810147,0.6777112627036057,0.30993745656706045,0.6859246318941852,0.3064917766967802,0.6940677966101695,0.2263627964274715,0.766624843161857,0.28092768486684927,0.7088857236770023,0.30410397454565063,0.6870336761443839,
