row_type,feature,status,reason,valid_comparisons,positive_direction_share,validation_positive_share,test_positive_share,seed42_positive_share,seed7_positive_share,seed123_positive_share,trial006_positive_share,trial024_positive_share,mean_diff_missed_minus_caught,median_diff_missed_minus_caught,max_abs_corr_existing,mean_abs_corr_existing,d_like_risk,candidate_id,seed,split,missed_count,caught_count,missed_mean,missed_median,missed_q75,caught_mean,caught_median,caught_q75,q75_diff_missed_minus_caught,positive_direction
aggregate,runup_20d,recommend,seed/candidate/split 전반에서 missed severe가 더 높고 해석이 명확함,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.051552195274016915,0.052181481845816904,0.8047232840765683,0.5217318339625505,False,,,,,,,,,,,,,
record,runup_20d,,,,,,,,,,,,0.05209344454322955,0.03498881682753563,,,,trial006_c_balanced,7,validation,8515,22412,0.050260610692159466,0.03498881682753563,0.09923619776964188,-0.0018328338510700797,0.0,0.048890236765146255,0.05034596100449562,True
record,runup_20d,,,,,,,,,,,,0.05976051123262719,0.04619372729212046,,,,trial006_c_balanced,7,test,13200,35597,0.04420257381631252,0.030005122534930706,0.09339184872806072,-0.015557937416314671,-0.01618860475718975,0.04499136283993721,0.04840048588812351,True
record,runup_20d,,,,,,,,,,,,0.0445465834646913,0.029292929044459015,,,,trial006_c_balanced,42,validation,9607,21320,0.04321870169239738,0.029427500441670418,0.09080717712640762,-0.0013278817722939204,0.00013457139721140265,0.04974141716957092,0.0410657599568367,True
record,runup_20d,,,,,,,,,,,,0.043966114992015554,0.03567755967378616,,,,trial006_c_balanced,42,test,16853,31944,0.029389340604375615,0.019679361954331398,0.08318425714969635,-0.014576774387639942,-0.015998197719454765,0.04451718553900719,0.03866707161068916,True
record,runup_20d,,,,,,,,,,,,0.053242898012470306,0.03851871780352667,,,,trial006_c_balanced,123,validation,8261,22666,0.051530867983451585,0.03793074190616608,0.10141079127788544,-0.0017120300290187195,-0.0005879758973605931,0.04810996726155281,0.053300824016332626,True
record,runup_20d,,,,,,,,,,,,0.05568096775392277,0.043677762150764465,,,,trial006_c_balanced,123,test,13897,34900,0.040431252961835286,0.027882274240255356,0.09092552214860916,-0.01524971479208748,-0.01579548791050911,0.04466023202985525,0.04626529011875391,True
record,runup_20d,,,,,,,,,,,,0.05107874931375703,0.03706371411681175,,,,trial024_c_risk,7,validation,8059,22868,0.05027841261941187,0.03706371411681175,0.10111081600189209,-0.0008003366943451556,0.0,0.048640914261341095,0.052469901740550995,True
record,runup_20d,,,,,,,,,,,,0.054632193250110074,0.044366130605340004,,,,trial024_c_risk,7,test,13958,34839,0.03961286670916976,0.028568794950842857,0.09148417226970196,-0.015019326540940313,-0.015797335654497147,0.04422164708375931,0.04726252518594265,True
record,runup_20d,,,,,,,,,,,,0.047620514028576554,0.034927660366520286,,,,trial024_c_risk,42,validation,10740,20187,0.043593201554254536,0.03197818621993065,0.09326324984431267,-0.004027312474322015,-0.002949474146589637,0.04645787551999092,0.04680537432432175,True
record,runup_20d,,,,,,,,,,,,0.053670331270058554,0.0449539590626955,,,,trial024_c_risk,42,test,18202,30595,0.03425829172642198,0.02479461580514908,0.08566226065158844,-0.019412039543636572,-0.020159343257546425,0.03957834839820862,0.04608391225337982,True
record,runup_20d,,,,,,,,,,,,0.052269519148404255,0.03758347002440132,,,,trial024_c_risk,123,validation,7834,23093,0.0515391610394689,0.03793074190616608,0.1025768555700779,-0.0007303581089353553,0.00034727188176475465,0.04878373071551323,0.05379312485456467,True
record,runup_20d,,,,,,,,,,,,0.050064516278339806,0.042480497155338526,,,,trial024_c_risk,123,test,14281,34516,0.03602034797282515,0.02707497775554657,0.09034162014722824,-0.01404416830551466,-0.015405519399791956,0.044633750803768635,0.045707869343459606,True
aggregate,runup_20d_xs_z,recommend,seed/candidate/split 전반에서 missed severe가 더 높고 해석이 명확함,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5195349429600032,0.5247347545101734,0.7111030092682828,0.465150549562817,False,,,,,,,,,,,,,
record,runup_20d_xs_z,,,,,,,,,,,,0.5863126219718409,0.4046431705355644,,,,trial006_c_balanced,7,validation,8515,22412,0.4145094915014799,0.2826702892780304,0.9933416545391083,-0.17180313047036092,-0.12197288125753403,0.43950652331113815,0.5538351312279701,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5397441715775491,0.4195411577820778,,,,trial006_c_balanced,7,test,13200,35597,0.3562158082485632,0.22119184583425522,0.841580867767334,-0.18352836332898592,-0.19834931194782257,0.37419676780700684,0.46738409996032715,True
record,runup_20d_xs_z,,,,,,,,,,,,0.49474625721936116,0.34275225177407265,,,,trial006_c_balanced,42,validation,9607,21320,0.3306847338555357,0.22715874016284943,0.8527577519416809,-0.16406152336382546,-0.11559351161122322,0.456554114818573,0.3962036371231079,True
record,runup_20d_xs_z,,,,,,,,,,,,0.39702377208778716,0.32723668217658997,,,,trial006_c_balanced,42,test,16853,31944,0.2223808204404245,0.134393110871315,0.7478975653648376,-0.17464295164736263,-0.19284357130527496,0.3730350136756897,0.37486255168914795,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5800080112926156,0.40996241569519043,,,,trial006_c_balanced,123,validation,8261,22666,0.4147042436703139,0.2856249213218689,0.9939793944358826,-0.1653037676223017,-0.12433749437332153,0.44682902097702026,0.5471503734588623,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5008638176892756,0.3974980562925339,,,,trial006_c_balanced,123,test,13897,34900,0.3206987469888485,0.20362243056297302,0.805955171585083,-0.1801650707004271,-0.19387562572956085,0.3730350136756897,0.4329201579093933,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5473543869532602,0.4029514938592911,,,,trial024_c_risk,7,validation,8059,22868,0.39434787340771904,0.28843238949775696,0.9967904984951019,-0.15300651354554112,-0.11451910436153412,0.44933846592903137,0.5474520325660706,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5097253374427977,0.4134441539645195,,,,trial024_c_risk,7,test,13958,34839,0.32639938009772634,0.2157675102353096,0.8440794944763184,-0.18332595734507137,-0.1976766437292099,0.3573388159275055,0.48674067854881287,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5570974517728307,0.40574848651885986,,,,trial024_c_risk,42,validation,10740,20187,0.35325840912379164,0.25063952803611755,0.9257023334503174,-0.20383904264903896,-0.1551089584827423,0.41127215325832367,0.5144301801919937,True
record,runup_20d_xs_z,,,,,,,,,,,,0.4985496463795901,0.4066386967897415,,,,trial024_c_risk,42,test,18202,30595,0.27506026908299036,0.17030717432498932,0.7764403820037842,-0.2234893772965997,-0.2363315224647522,0.33401912450790405,0.4424212574958801,True
record,runup_20d_xs_z,,,,,,,,,,,,0.5654380178738706,0.42099394649267197,,,,trial024_c_risk,123,validation,7834,23093,0.4118329196751921,0.3059970736503601,1.0161189436912537,-0.15360509819867849,-0.11499687284231186,0.44933846592903137,0.5667804777622223,True
record,runup_20d_xs_z,,,,,,,,,,,,0.45755582325926036,0.3813992291688919,,,,trial024_c_risk,123,test,14281,34516,0.2861238665302325,0.19303308427333832,0.8187661170959473,-0.17143195672902792,-0.1883661448955536,0.3708150088787079,0.4479511082172394,True
aggregate,runup_20d_xs_rank,hold,runup_20d_xs_z와 같은 cross-sectional runup 계열이므로 둘 다 넣지 않고 xs_z를 우선함,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13837102325172868,0.14234604252936295,0.7067690171568416,0.49683221140823275,False,,,,,,,,,,,,,
record,runup_20d_xs_rank,,,,,,,,,,,,0.14237039453640282,0.21515434980392456,,,,trial006_c_balanced,7,validation,8515,22412,0.5982389858401043,0.6566866040229797,0.8875501751899719,0.45586859130370144,0.4415322542190552,0.7228915691375732,0.16465860605239868,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.15431873399897916,0.2272731065750122,,,,trial006_c_balanced,7,test,13200,35597,0.5962554619742458,0.6364547312259674,0.8622754216194153,0.4419367279752667,0.4091816246509552,0.705765426158905,0.15650999546051025,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.11540956479869041,0.17982596158981323,,,,trial006_c_balanced,42,validation,9607,21320,0.5746261762936956,0.6265060305595398,0.8622754216194153,0.4592166114950052,0.44668006896972656,0.7283702492713928,0.13390517234802246,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.11518568573019294,0.1781066656112671,,,,trial006_c_balanced,42,test,16853,31944,0.5590852992757935,0.5904572606086731,0.8386453986167908,0.4438996135456006,0.412350594997406,0.7071713209152222,0.1314740777015686,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.1438866156311276,0.21787172555923462,,,,trial006_c_balanced,123,validation,8261,22666,0.6005194769173273,0.6586345434188843,0.891783595085144,0.45663286128619973,0.44076281785964966,0.7248124182224274,0.16697117686271667,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.14232169052232307,0.2155689001083374,,,,trial006_c_balanced,123,test,13897,34900,0.5854708445811154,0.6267465353012085,0.8528826832771301,0.44314915405879235,0.4111776351928711,0.7065868377685547,0.14629584550857544,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.133946090979166,0.2099905014038086,,,,trial024_c_risk,7,validation,8059,22868,0.5941090646114596,0.658682644367218,0.8922155499458313,0.46016297363229364,0.4486921429634094,0.72635817527771,0.16585737466812134,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.1498615798036731,0.2251877784729004,,,,trial024_c_risk,7,test,13958,34839,0.5906760944848204,0.6347305178642273,0.8605577945709229,0.4408145146811473,0.4095427393913269,0.7005987763404846,0.15995901823043823,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.1425058956498111,0.21357285976409912,,,,trial024_c_risk,42,validation,10740,20187,0.5880847915481547,0.6407185792922974,0.8762475252151489,0.44557889589834365,0.42714571952819824,0.7102615833282471,0.16598594188690186,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.14599354115398355,0.22034019231796265,,,,trial024_c_risk,42,test,18202,30595,0.5752170460356526,0.6095617413520813,0.8443113565444946,0.42922350488166905,0.38922154903411865,0.6872509717941284,0.1570603847503662,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.13799580913715664,0.2199825644493103,,,,trial024_c_risk,123,validation,7834,23093,0.5981074482856857,0.6686747074127197,0.8962075710296631,0.4601116391485291,0.4486921429634094,0.72635817527771,0.16984939575195312,True
record,runup_20d_xs_rank,,,,,,,,,,,,0.13665667707923768,0.20834031701087952,,,,trial024_c_risk,123,test,14281,34516,0.5803437848610075,0.6215139627456665,0.8528826832771301,0.4436871077817698,0.413173645734787,0.705765426158905,0.1471172571182251,True
aggregate,ma60_extension_pos,recommend,seed/candidate/split 전반에서 missed severe가 더 높고 해석이 명확함,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0504146384375371,0.050089505579855795,0.8861327141370519,0.4773616045984683,False,,,,,,,,,,,,,
record,ma60_extension_pos,,,,,,,,,,,,0.055213605058455996,0.05230657756328583,,,,trial006_c_balanced,7,validation,8515,22412,0.08750766753410238,0.05230657756328583,0.11493569985032082,0.03229406247564639,0.0,0.048357993364334106,0.06657770648598671,True
record,ma60_extension_pos,,,,,,,,,,,,0.05298471229175903,0.05018788203597069,,,,trial006_c_balanced,7,test,13200,35597,0.08295782111914102,0.05018788203597069,0.11548599041998386,0.029973108827381988,0.0,0.0421053022146225,0.07338068820536137,True
record,ma60_extension_pos,,,,,,,,,,,,0.04341129718679538,0.044383008033037186,,,,trial006_c_balanced,42,validation,9607,21320,0.07742203166422693,0.044383008033037186,0.10140298679471016,0.034010734477431546,0.0,0.05058076232671738,0.05082222446799278,True
record,ma60_extension_pos,,,,,,,,,,,,0.041309229229155156,0.037749096751213074,,,,trial006_c_balanced,42,test,16853,31944,0.07134819788505667,0.037749096751213074,0.09932533651590347,0.030038968655901513,0.0,0.041588421911001205,0.05773691460490227,True
record,ma60_extension_pos,,,,,,,,,,,,0.05621515833101507,0.05491889268159866,,,,trial006_c_balanced,123,validation,8261,22666,0.08869515620615825,0.05491889268159866,0.11767835170030594,0.032479997875143184,0.0,0.04756250511854887,0.07011584658175707,True
record,ma60_extension_pos,,,,,,,,,,,,0.05058049232430632,0.048126474022865295,,,,trial006_c_balanced,123,test,13897,34900,0.0804814881205662,0.048126474022865295,0.11192823946475983,0.029900995796259874,0.0,0.04174327105283737,0.07018496841192245,True
record,ma60_extension_pos,,,,,,,,,,,,0.05565206415534791,0.05414937809109688,,,,trial024_c_risk,7,validation,8059,22868,0.08864596373271137,0.05414937809109688,0.11626628786325455,0.03299389957736346,0.0,0.048858705908060074,0.06740758195519447,True
record,ma60_extension_pos,,,,,,,,,,,,0.049598518835405274,0.048088615760207176,,,,trial024_c_risk,7,test,13958,34839,0.07971717096148662,0.048088615760207176,0.11018943786621094,0.030118652126081343,0.0,0.0417360570281744,0.06845338083803654,True
record,ma60_extension_pos,,,,,,,,,,,,0.049227439073759094,0.047199178487062454,,,,trial024_c_risk,42,validation,10740,20187,0.07962804765541577,0.047199178487062454,0.10805832594633102,0.030400608581656673,0.0,0.04490452818572521,0.06315379776060581,True
record,ma60_extension_pos,,,,,,,,,,,,0.04679961320301659,0.043333593755960464,,,,trial024_c_risk,42,test,18202,30595,0.07364858822565466,0.043333593755960464,0.10338212549686432,0.02684897502263807,0.0,0.03467437997460365,0.06870774552226067,True
record,ma60_extension_pos,,,,,,,,,,,,0.05629764840395659,0.05442803353071213,,,,trial024_c_risk,123,validation,7834,23093,0.08953289720469616,0.05442803353071213,0.1185113787651062,0.033235248800739574,0.0,0.04940641671419144,0.06910496205091476,True
record,ma60_extension_pos,,,,,,,,,,,,0.04768588315747282,0.04636894911527634,,,,trial024_c_risk,123,test,14281,34516,0.07803598452290735,0.04636894911527634,0.10751350224018097,0.030350101365434527,0.0,0.04210120067000389,0.06541230157017708,True
aggregate,ma20_extension_pos,hold,ma60_extension_pos보다 단기/기존 ma_20_ratio 중복성이 커서 보조 후보로만 둠,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01618195293237595,0.01624020658084053,0.8546994158368281,0.5486665542589922,False,,,,,,,,,,,,,
record,ma20_extension_pos,,,,,,,,,,,,0.017652063842537626,0.019109764019958675,,,,trial006_c_balanced,7,validation,8515,22412,0.0364847514128081,0.020201126113533974,0.049824949353933334,0.018832687570270477,0.0010913620935752988,0.02860871981829405,0.021216229535639286,True
record,ma20_extension_pos,,,,,,,,,,,,0.016411038573435958,0.01772315800189972,,,,trial006_c_balanced,7,test,13200,35597,0.03540767021606729,0.01772315800189972,0.04895582050085068,0.018996631642631333,0.0,0.025997420772910118,0.02295839972794056,True
record,ma20_extension_pos,,,,,,,,,,,,0.014847722366853219,0.01731393055524677,,,,trial006_c_balanced,42,validation,9607,21320,0.033928259868925975,0.018304621800780296,0.046524856239557266,0.019080537502072756,0.000990691245533526,0.02852318435907364,0.018001671880483627,True
record,ma20_extension_pos,,,,,,,,,,,,0.012158867181004888,0.01317971758544445,,,,trial006_c_balanced,42,test,16853,31944,0.03139552014805943,0.01317971758544445,0.044209301471710205,0.01923665296705454,0.0,0.025767629966139793,0.01844167150557041,True
record,ma20_extension_pos,,,,,,,,,,,,0.01865959520291674,0.02139101905049756,,,,trial006_c_balanced,123,validation,8261,22666,0.037368132601748434,0.022379903122782707,0.05116519704461098,0.018708537398831694,0.0009888840722851455,0.02806914411485195,0.023096052929759026,True
record,ma20_extension_pos,,,,,,,,,,,,0.015452725555813018,0.017275379970669746,,,,trial006_c_balanced,123,test,13897,34900,0.03448786739620694,0.017275379970669746,0.0483790747821331,0.019035141840393923,0.0,0.025836195331066847,0.022542879451066256,True
record,ma20_extension_pos,,,,,,,,,,,,0.01825822623822216,0.020136897335760295,,,,trial024_c_risk,7,validation,8059,22868,0.03719322823812938,0.021239178255200386,0.05058953911066055,0.01893500199990722,0.0011022809194400907,0.02865072712302208,0.021938811987638474,True
record,ma20_extension_pos,,,,,,,,,,,,0.0160693745882451,0.01770212221890688,,,,trial024_c_risk,7,test,13958,34839,0.03490881170388972,0.01770212221890688,0.049097564071416855,0.018839437115644623,0.0,0.025527922436594963,0.023569641634821892,True
record,ma20_extension_pos,,,,,,,,,,,,0.016571237637692388,0.018772181123495102,,,,trial024_c_risk,42,validation,10740,20187,0.034509309868304694,0.018772181123495102,0.047613758593797684,0.017938072230612306,0.0,0.027202690951526165,0.02041106764227152,True
record,ma20_extension_pos,,,,,,,,,,,,0.015144767797166236,0.016049087047576904,,,,trial024_c_risk,42,test,18202,30595,0.03293150222737334,0.016049087047576904,0.046676330268383026,0.0177867344302071,0.0,0.023103133775293827,0.0235731964930892,True
record,ma20_extension_pos,,,,,,,,,,,,0.01852596636067727,0.01984165864996612,,,,trial024_c_risk,123,validation,7834,23093,0.03752598031726592,0.021130604669451714,0.050661858171224594,0.01900001395658865,0.0012889460194855928,0.028784623369574547,0.021877234801650047,True
record,ma20_extension_pos,,,,,,,,,,,,0.014431849843946833,0.016007989645004272,,,,trial024_c_risk,123,test,14281,34516,0.033644159941154266,0.016007989645004272,0.047108061611652374,0.019212310097207433,0.0,0.02618030458688736,0.020927757024765015,True
aggregate,max_down_day_20d,exclude,missed severe가 caught severe보다 높다는 방향성이 약하거나 반대임,12,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0037371551137798625,0.002533728711359262,0.5336470333100909,0.25677417648279743,True,,,,,,,,,,,,,
record,max_down_day_20d,,,,,,,,,,,,0.009148970234440112,0.0013021156191825867,,,,trial006_c_balanced,7,validation,8515,22412,0.05277418489630826,0.035068146884441376,0.05377103015780449,0.043625214661868146,0.03376603126525879,0.049829017370939255,0.003942012786865234,True
record,max_down_day_20d,,,,,,,,,,,,-0.00407372185427133,-0.002264268696308136,,,,trial006_c_balanced,7,test,13200,35597,0.04930102576252962,0.038458917289972305,0.06113707274198532,0.05337474761680095,0.04072318598628044,0.061998214572668076,-0.0008611418306827545,False
record,max_down_day_20d,,,,,,,,,,,,0.0065042044685014455,0.0007109232246875763,,,,trial006_c_balanced,42,validation,9607,21320,0.05062793464164984,0.034535687416791916,0.05289197713136673,0.04412373017314839,0.03382476419210434,0.049844290129840374,0.0030476870015263557,True
record,max_down_day_20d,,,,,,,,,,,,-0.0018658039806544596,-0.00122857466340065,,,,trial006_c_balanced,42,test,16853,31944,0.051051359481579364,0.039241693913936615,0.062169577926397324,0.052917163462233824,0.040470268577337265,0.06146872043609619,0.0007008574903011322,False
record,max_down_day_20d,,,,,,,,,,,,0.010995153687872572,0.0012207329273223877,,,,trial006_c_balanced,123,validation,8261,22666,0.05420236844450394,0.03495538607239723,0.05365321785211563,0.04320721475663137,0.033734653145074844,0.04988708067685366,0.0037661371752619743,True
record,max_down_day_20d,,,,,,,,,,,,-0.003486668733963652,-0.0013171136379241943,,,,trial006_c_balanced,123,test,13897,34900,0.04977907847132658,0.0391264334321022,0.06234581023454666,0.05326574720529023,0.0404435470700264,0.06130191683769226,0.0010438933968544006,False
record,max_down_day_20d,,,,,,,,,,,,0.012842827270978747,0.0020058006048202515,,,,trial024_c_risk,7,validation,8059,22868,0.055640387668593645,0.035525355488061905,0.05675901845097542,0.0427975603976149,0.03351955488324165,0.04886754788458347,0.007891470566391945,True
record,max_down_day_20d,,,,,,,,,,,,-0.0018870057544424848,-0.0025038644671440125,,,,trial024_c_risk,7,test,13958,34839,0.05092552897722468,0.038339871913194656,0.06165096163749695,0.052812534731667166,0.04084373638033867,0.06162332370877266,2.763792872428894e-05,False
record,max_down_day_20d,,,,,,,,,,,,0.0074213686042293794,-0.00029504671692848206,,,,trial024_c_risk,42,validation,10740,20187,0.05098831646805161,0.03384741395711899,0.0514687430113554,0.04356694786382223,0.03414246067404747,0.05052199959754944,0.0009467434138059616,True
record,max_down_day_20d,,,,,,,,,,,,-0.003048189751466153,-0.002778124064207077,,,,trial024_c_risk,42,test,18202,30595,0.05036160144137032,0.038350909948349,0.06097918376326561,0.053409791192836474,0.041129034012556076,0.062340233474969864,-0.0013610497117042542,False
record,max_down_day_20d,,,,,,,,,,,,0.013731474219917092,0.002297494560480118,,,,trial024_c_risk,123,validation,7834,23093,0.056397368951220585,0.0357285812497139,0.056992676109075546,0.04266589473130349,0.03343108668923378,0.04878048598766327,0.008212190121412277,True
record,max_down_day_20d,,,,,,,,,,,,-0.0014367470457829212,-0.0015764236450195312,,,,trial024_c_risk,123,test,14281,34516,0.051256504907031396,0.03896103799343109,0.06180227920413017,0.05269325195281432,0.04053746163845062,0.061471033841371536,0.0003312453627586365,False
aggregate,pullback_from_20d_high,exclude,missed severe가 caught severe보다 높다는 방향성이 약하거나 반대임,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012866159441920417,-0.01240222349707245,0.7217813790109894,0.5578262574695076,True,,,,,,,,,,,,,
record,pullback_from_20d_high,,,,,,,,,,,,-0.004731340677840153,-0.011829663068056107,,,,trial006_c_balanced,7,validation,8515,22412,0.051109971941680966,0.027164220809936523,0.062119871377944946,0.05584131261952112,0.03899388387799263,0.07780157029628754,-0.01568169891834259,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.0246113492499567,-0.023943420499563217,,,,trial006_c_balanced,7,test,13200,35597,0.04733532131898728,0.029336735606193542,0.06809872388839722,0.07194667056894398,0.05328015610575676,0.10006006062030792,-0.031961336731910706,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.006218534665614214,-0.011361906304955482,,,,trial006_c_balanced,42,validation,9607,21320,0.05025181072982267,0.027807017788290977,0.06345963478088379,0.05647034539543688,0.03916892409324646,0.07816741988062859,-0.014707785099744797,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.018527629820095863,-0.020321901887655258,,,,trial006_c_balanced,42,test,16853,31944,0.05316034319077379,0.033139146864414215,0.07557881623506546,0.07168797301086965,0.05346104875206947,0.09951971471309662,-0.02394089847803116,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.00356011172120093,-0.012140994891524315,,,,trial006_c_balanced,123,validation,8261,22666,0.05192949258703982,0.02688412554562092,0.06151371821761131,0.05548960430824075,0.03902512043714523,0.07776100188493729,-0.016247283667325974,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.023507662573482885,-0.024023402482271194,,,,trial006_c_balanced,123,test,13897,34900,0.04847622701884907,0.029407665133476257,0.07062043994665146,0.07198388959233196,0.05343106761574745,0.0995044857263565,-0.028884045779705048,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.0010661356391317989,-0.011374551802873611,,,,trial024_c_risk,7,validation,8059,22868,0.053750332063131075,0.027313075959682465,0.06417112052440643,0.054816467702262874,0.038687627762556076,0.07705608196556568,-0.012884961441159248,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.02218975706546776,-0.02419798355549574,,,,trial024_c_risk,7,test,13958,34839,0.0494465423540279,0.029263065196573734,0.07014433294534683,0.07163629941949566,0.05346104875206947,0.09973245486617088,-0.02958812192082405,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.006276817174049036,-0.01448429562151432,,,,trial024_c_risk,42,validation,10740,20187,0.05044158182880955,0.02673950605094433,0.06155424937605858,0.056718399002858584,0.04122380167245865,0.07968917116522789,-0.01813492178916931,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.023549743718384475,-0.025984443724155426,,,,trial024_c_risk,42,test,18202,30595,0.05052375073445822,0.030511725693941116,0.07051008567214012,0.0740734944528427,0.05649616941809654,0.1031058132648468,-0.03259572759270668,False
record,pullback_from_20d_high,,,,,,,,,,,,-0.0009532044173022058,-0.011321946047246456,,,,trial024_c_risk,123,validation,7834,23093,0.05382690076319594,0.027183149941265583,0.06422462500631809,0.05478010518049815,0.03850509598851204,0.07687429338693619,-0.012649668380618095,False
