experiment_id,label,classification,line_gate_pass,extra_features,ic_mean,long_short_spread,fee_adjusted_return,false_safe_tail_rate,severe_downside_recall,stress_false_safe_tail_rate,stress_severe_downside_recall,h1_false_safe_tail_rate,h1_severe_downside_recall,h2_h3_false_safe_tail_rate,h4_h5_false_safe_tail_rate,checkpoint_path
stage4_1_a_selector_only,A_selector_only,stress_risk_improvement,True,,0.05134608903886302,0.007703146504064737,14.884894053283496,0.3033910470755064,0.689162252975682,0.20353982300884957,0.6363636363636364,0.30663079326505815,0.6506387921022068,0.3019615785210045,0.2903020483740308,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-26ba7bf01f45.pt
stage4_1_b_atr_only,B_atr_only,stress_risk_improvement,True,atr_ratio,0.05681097668557111,0.007379856053087386,16.004600202225944,0.29436342734429255,0.7004954724073125,0.20943952802359883,0.6666666666666666,0.30350633570560664,0.6522648083623693,0.29145932183775025,0.2816514292327277,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-7b364696383c.pt
stage4_1_c_stress_delta,C_stress_delta,strong_stage4_candidate,True,"atr_ratio,vix_change_5d,credit_spread_change_20d,ma200_pct_change_20d",0.0584498209831281,0.008606799795284947,30.75817342232536,0.29583398983444503,0.6983455777663876,0.22123893805309736,0.6515151515151515,0.3071515361916334,0.6641114982578398,0.2944971646800139,0.28434209003587546,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-e6cd74c05d7e.pt
stage4_1_d_stock_fragility,D_stock_fragility,strong_stage4_candidate,True,"atr_ratio,drawdown_20,downside_vol_20",0.04982527041505442,0.008396038967163328,29.049106075325714,0.2782164177798008,0.7101344040093399,0.23893805309734514,0.6666666666666666,0.28658219059191115,0.6622531939605111,0.27722485823400067,0.26863210276588356,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-e58e07d2125c.pt
