row_type,trial_number,classification,objective_score,seed,patch_geometry,lr,weight_decay,dropout,lambda_direction,line_gate_pass,val_ic,val_spread,val_fee,val_false_safe,val_severe,val_h1_false_safe,val_stress_false_safe,val_breadth_false_safe,test_ic,test_spread,test_fee,test_false_safe,test_severe,warnings,checkpoint_path
reference,C_stage4_2_median,기존 C reference,,"42,7,123 median",p32_s16,stage4_2_reference,stage4_2_reference,stage4_2_reference,stage4_2_reference,True,0.04885,0.0077,19.68,0.28177,0.70529,0.272696,0.19764,,0.04251,0.00603,4.91,0.31171,0.68708,,stage4_2_reference_median
trial,24,C-risk 후보,1.4139005701430394,123,p16_s8,0.0013385598971335333,0.000190190440463508,0.18,0.2,True,0.04809836219082535,0.008540339461495398,41.56534907396265,0.2249260342080846,0.7634973517854092,0.22999479257073424,0.1976401179941003,0.201785613380799,0.0425018192566956,0.005811596495313344,5.13551888775738,0.295006314123268,0.7065325475993595,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-5893f43a3b9b.pt
trial,6,C-balanced 후보,1.3933256029295835,123,p32_s16,0.0007362816234925851,8.143270337695065e-05,0.1,0.2,True,0.054432789785102624,0.009520445112441092,63.075829228041215,0.2372915973693271,0.7498718605843158,0.23661979980327488,0.168141592920354,0.21173080183081877,0.042207046186910985,0.005298420956578071,3.7659632319915852,0.28167973137333635,0.7179940755937491,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-333b7727e550.pt
trial,1,C-risk 후보,1.3929104106319978,123,p16_s8,0.0012995603535416623,3.2769738274658046e-05,0.15,0.15,True,0.04134013245941978,0.008869991879948781,57.51011535263989,0.22772710561789886,0.7616749245401219,0.23314818029277323,0.18289085545722714,0.20630615358535345,0.04239658820597461,0.0057185323822002655,4.810931634416857,0.29576866449018546,0.7053811612254938,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-784217f2dc8b.pt
trial,28,C-risk 후보,1.3404848503794817,123,p16_s8,0.0016650906536898834,0.0003552650024785524,0.08,0.2,True,0.04369174923025981,0.008745403020456552,44.92189436974068,0.2367605609145498,0.7520075175123868,0.23638835850257478,0.20648967551622419,0.21500819347912076,0.042079341501032826,0.005671056128055029,4.19771621801714,0.30332815400641305,0.6982530328563803,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-b76395b77c68.pt
trial,14,C-risk 후보,1.321306398861844,123,p16_s8,0.0010672174403818955,0.0001347552072824026,0.15,0.15,True,0.04620269321192165,0.008504289479302127,44.17412989728155,0.23976587711466302,0.7489606469616721,0.23366892321934848,0.20058997050147492,0.21687291631349948,0.04452412719827421,0.006591134994610464,6.674520459778763,0.3199252780251052,0.6805949527408229,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-22ed6c0ef57e.pt
trial,17,C-balanced 후보,1.2173360516451943,123,p16_s8,0.0007746432392222074,4.092469847942198e-05,0.1,0.2,True,0.048988503931767215,0.009418136720826397,72.23760554198782,0.26446199004452536,0.7235036163790649,0.27590696059711856,0.2182890855457227,0.2391365768209301,0.045181181884049994,0.0065495195647035575,6.529230133009088,0.3393157468996782,0.6606445670263876,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-66c703bd6619.pt
trial,12,C-risk 후보,1.1921537912128553,123,p16_s8,0.0009052912849342745,4.039384972769253e-05,0.15,0.3,True,0.045974619110721926,0.00911956587766178,67.04505519019995,0.26704714553316644,0.7239592231903867,0.27761384018978186,0.2182890855457227,0.24331807651014295,0.04365250846987151,0.006115777384088858,5.585591676814889,0.3385766744065597,0.6617854862514,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-ddd0c4853eed.pt
trial,32,C-balanced 후보,1.18169024129328,123,p32_s16,0.0008095410689500261,8.267972503182414e-05,0.1,0.05,True,0.055425104636713414,0.008514516180092057,35.05617299322833,0.2593792125487999,0.7282020616208212,0.25611872938725916,0.2153392330383481,0.23478555687404645,0.045640217994506065,0.006269245060745663,5.576914096520836,0.3050623556044391,0.6936056187655044,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-dc2112b99b63.pt
trial,11,C-balanced 후보,1.1616117927556509,123,p16_s8,0.001987567825903104,1.7598518897184366e-05,0.15,0.15,True,0.04977685168262946,0.008730103905431589,48.3247095958498,0.2715872154432404,0.7191611139586537,0.28082508823699587,0.2448377581120944,0.24959032604396225,0.04392517983614252,0.006011825583694331,5.226048024115148,0.3376688373283984,0.6655431926897433,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-ff5f22193cac.pt
