candidate_id,seed,asof_date,false_safe_count,mean_score,mean_actual
trial006_c_balanced,7,2024-12-06,466,0.04181932285428047,-0.03950931876897812
trial006_c_balanced,7,2025-04-02,461,0.0272162277251482,-0.09429189562797546
trial006_c_balanced,7,2024-12-16,447,0.03001582995057106,-0.04478395730257034
trial006_c_balanced,7,2025-02-28,431,0.03524013236165047,-0.05626779794692993
trial006_c_balanced,7,2024-12-17,425,0.029723133891820908,-0.037064358592033386
trial006_c_balanced,7,2024-12-13,407,0.030810143798589706,-0.04461377486586571
trial006_c_balanced,7,2026-03-04,395,0.04388817399740219,-0.04503898322582245
trial006_c_balanced,7,2024-12-05,392,0.03804725408554077,-0.0397629588842392
trial006_c_balanced,7,2026-03-02,385,0.05079701542854309,-0.05338941887021065
trial006_c_balanced,7,2024-10-18,381,0.033731259405612946,-0.040235619992017746
trial006_c_balanced,7,2025-03-03,370,0.031127769500017166,-0.05326996371150017
trial006_c_balanced,7,2024-11-29,366,0.03431372717022896,-0.033066924661397934
trial006_c_balanced,7,2025-04-03,365,0.02577083744108677,-0.06483545899391174
trial006_c_balanced,7,2024-12-12,363,0.02862582728266716,-0.04471752047538757
trial006_c_balanced,7,2024-11-13,354,0.035438183695077896,-0.0389985591173172
trial006_c_balanced,7,2025-02-19,353,0.04542962461709976,-0.05488524213433266
trial006_c_balanced,7,2024-10-28,345,0.037822138518095016,-0.049558866769075394
trial006_c_balanced,7,2024-11-11,341,0.04055158793926239,-0.04008754715323448
trial006_c_balanced,7,2025-02-20,333,0.04187542572617531,-0.04554156959056854
trial006_c_balanced,7,2025-03-05,329,0.0357540100812912,-0.0622950978577137
trial006_c_balanced,42,2025-04-02,664,0.030689403414726257,-0.09712882339954376
trial006_c_balanced,42,2026-03-02,577,0.05736435949802399,-0.05237448588013649
trial006_c_balanced,42,2024-12-16,568,0.031974200159311295,-0.043565552681684494
trial006_c_balanced,42,2025-04-03,546,0.027001742273569107,-0.06474681198596954
trial006_c_balanced,42,2025-04-01,528,0.03341693803668022,-0.10100433975458145
trial006_c_balanced,42,2024-12-13,518,0.029005266726017,-0.04400254040956497
trial006_c_balanced,42,2024-12-12,517,0.03276455029845238,-0.04570458084344864
trial006_c_balanced,42,2026-03-04,497,0.04643065854907036,-0.04478687420487404
trial006_c_balanced,42,2024-12-17,487,0.027594303712248802,-0.03578745201230049
trial006_c_balanced,42,2025-03-03,484,0.030435843393206596,-0.053114961832761765
trial006_c_balanced,42,2024-12-06,458,0.04326852038502693,-0.03953414037823677
trial006_c_balanced,42,2026-02-27,447,0.059565331786870956,-0.055827926844358444
trial006_c_balanced,42,2025-03-07,442,0.028802957385778427,-0.049103330820798874
trial006_c_balanced,42,2025-05-20,442,0.03143693879246712,-0.034339044243097305
trial006_c_balanced,42,2025-02-28,434,0.034853752702474594,-0.0533769391477108
trial006_c_balanced,42,2024-11-29,427,0.034753601998090744,-0.03396756947040558
trial006_c_balanced,42,2024-12-05,425,0.038506511598825455,-0.03866179659962654
trial006_c_balanced,42,2026-02-26,423,0.06612560153007507,-0.055031441152095795
trial006_c_balanced,42,2025-03-05,412,0.035284578800201416,-0.05932053178548813
trial006_c_balanced,42,2024-12-11,408,0.03232898190617561,-0.04282332584261894
trial006_c_balanced,123,2025-04-02,532,0.02613997645676136,-0.09790151566267014
trial006_c_balanced,123,2024-12-16,523,0.031174737960100174,-0.04310678690671921
trial006_c_balanced,123,2024-12-13,473,0.02945009432733059,-0.04450887441635132
trial006_c_balanced,123,2025-04-03,443,0.022915977984666824,-0.06527206301689148
trial006_c_balanced,123,2024-12-06,443,0.038994599133729935,-0.039113495498895645
trial006_c_balanced,123,2024-12-17,431,0.0286631528288126,-0.0364585816860199
trial006_c_balanced,123,2025-03-03,412,0.029694434255361557,-0.05379917100071907
trial006_c_balanced,123,2024-12-12,411,0.03002525493502617,-0.046382904052734375
trial006_c_balanced,123,2025-02-19,408,0.037897076457738876,-0.05585385859012604
trial006_c_balanced,123,2025-02-20,404,0.03897013142704964,-0.0477563701570034
trial006_c_balanced,123,2025-02-28,398,0.03036455437541008,-0.05457200109958649
trial006_c_balanced,123,2026-03-02,389,0.05278090760111809,-0.054096002131700516
trial006_c_balanced,123,2024-12-05,386,0.03782631456851959,-0.03934616968035698
trial006_c_balanced,123,2026-03-04,372,0.04083595052361488,-0.04440045729279518
trial006_c_balanced,123,2024-11-29,371,0.03454400599002838,-0.03257247433066368
trial006_c_balanced,123,2025-04-01,360,0.027985403314232826,-0.09727804362773895
trial006_c_balanced,123,2024-10-18,351,0.02848067879676819,-0.040639448910951614
trial006_c_balanced,123,2024-11-11,340,0.039692603051662445,-0.0407426543533802
trial006_c_balanced,123,2025-03-05,337,0.031402766704559326,-0.0627848207950592
trial006_c_balanced,123,2025-02-18,329,0.04393300414085388,-0.05887262895703316
trial024_c_risk,7,2025-04-02,566,0.026125693693757057,-0.09715668857097626
trial024_c_risk,7,2024-12-16,535,0.029897307977080345,-0.044485364109277725
trial024_c_risk,7,2024-12-17,496,0.028759684413671494,-0.03725864365696907
trial024_c_risk,7,2025-03-03,478,0.03250129148364067,-0.053603723645210266
trial024_c_risk,7,2024-12-06,477,0.03960878401994705,-0.03971945866942406
trial024_c_risk,7,2025-02-28,475,0.03299654275178909,-0.055944208055734634
trial024_c_risk,7,2024-12-13,467,0.027824681252241135,-0.04493821784853935
trial024_c_risk,7,2025-04-03,466,0.025558525696396828,-0.0647968277335167
trial024_c_risk,7,2024-12-05,424,0.041223641484975815,-0.03900129720568657
trial024_c_risk,7,2024-12-12,414,0.029173891991376877,-0.0475037507712841
trial024_c_risk,7,2025-04-01,390,0.026044929400086403,-0.09599670767784119
trial024_c_risk,7,2025-02-20,384,0.04100653901696205,-0.04601031541824341
trial024_c_risk,7,2025-02-19,381,0.0439329631626606,-0.05553778260946274
trial024_c_risk,7,2024-11-29,380,0.03248310461640358,-0.03234735131263733
trial024_c_risk,7,2026-03-02,379,0.05571368709206581,-0.053684912621974945
trial024_c_risk,7,2025-03-05,366,0.03236256167292595,-0.06074333190917969
trial024_c_risk,7,2024-10-18,358,0.028864910826086998,-0.0401606522500515
trial024_c_risk,7,2024-12-11,351,0.030686721205711365,-0.04162237420678139
trial024_c_risk,7,2026-03-04,350,0.04707833006978035,-0.044651493430137634
trial024_c_risk,7,2025-03-07,335,0.025138285011053085,-0.04955786466598511
trial024_c_risk,42,2026-03-02,619,0.06294594705104828,-0.05323031544685364
