run_at,run_date,mode,status,price_status,price_gate_status,price_appended_rows,context_status,cp186_date_max,cp187_date_max,cp187b_date_max
2026-05-16T20:08:00.312400,2026-05-08,dry_run,FAIL_AUTOMATION_UNSAFE,DRY_RUN_FETCH_BLOCKED,DRY_RUN_FETCH_BLOCKED,0,validated_existing,2026-05-08,2026-05-08,2026-05-08
2026-05-16T20:09:11.949032,2026-05-08,dry_run,WARN_MANUAL_TRIGGER_ONLY,DRY_RUN_FETCH_BLOCKED,PASS_WITH_NO_NEW_DAY,0,validated_existing,2026-05-08,2026-05-08,2026-05-08
2026-05-16T22:17:55.235345,2026-05-08,dry_run,WARN_MANUAL_TRIGGER_ONLY,DRY_RUN_FETCH_BLOCKED,PASS_WITH_NO_NEW_DAY,0,validated_existing,2026-05-08,2026-05-08,2026-05-08
